Name,CountDeclClass,CountDeclFile,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineComment,CountStmtDecl,CountStmtExe,RatioCommentToCode,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode
Directory Structure/mall-admin-cms/cms-server/src/main/java/com/mtcarpenter/mall/dao,2,2,4,50,9,17,24,15,0,"1,41",0,0,"0,00","0,00"
Directory Structure/mall-admin-cms/cms-server/src/main/java/com/mtcarpenter/mall/service,4,4,24,252,41,148,63,83,44,"0,43",0,0,"0,00","0,00"
Directory Structure/mall-admin-cms/cms-server/src/main/java/com/mtcarpenter/mall/service/impl,2,2,15,171,28,127,16,64,44,"0,13",0,0,"0,00","0,00"
Directory Structure/mall-admin-cms/cms-server/src/test/java,1,1,1,25,7,18,0,11,1,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-cms/cms-server/src/test/java/com,1,1,1,25,7,18,0,11,1,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-cms/cms-server/src/test/java/com/mtcarpenter,1,1,1,25,7,18,0,11,1,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-cms/cms-server/src/test/java/com/mtcarpenter/mall,1,1,1,25,7,18,0,11,1,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-cms/cms-server/src/test/java/com/mtcarpenter/mall/service,1,1,1,25,7,18,0,11,1,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-cms/cms-server/src/test/java/com/mtcarpenter/mall/service/impl,1,1,1,25,7,18,0,11,1,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-oms/oms-mbg,50,26,2391,12497,2624,9843,31,2851,4501,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-oms/oms-server,30,30,79,1269,147,910,212,428,220,"0,23",0,0,"0,00","0,00"
Directory Structure/mall-admin-oms/oms-mbg/src,50,26,2391,12497,2624,9843,31,2851,4501,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-oms/oms-mbg/src/main,50,26,2391,12497,2624,9843,31,2851,4501,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-oms/oms-mbg/src/main/java,50,26,2391,12497,2624,9843,31,2851,4501,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-oms/oms-mbg/src/main/java/com,50,26,2391,12497,2624,9843,31,2851,4501,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-oms/oms-mbg/src/main/java/com/mtcarpenter,50,26,2391,12497,2624,9843,31,2851,4501,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-oms/oms-mbg/src/main/java/com/mtcarpenter/mall,50,26,2391,12497,2624,9843,31,2851,4501,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-oms/oms-mbg/src/main/java/com/mtcarpenter/mall/mapper,8,8,88,240,96,144,0,136,0,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-oms/oms-mbg/src/main/java/com/mtcarpenter/mall/model,40,16,2298,12146,2517,9629,0,2677,4475,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-oms/oms-server/src,30,30,79,1269,147,910,212,428,220,"0,23",0,0,"0,00","0,00"
Directory Structure/mall-admin-oms/oms-server/src/main,30,30,79,1269,147,910,212,428,220,"0,23",0,0,"0,00","0,00"
Directory Structure/mall-admin-oms/oms-server/src/main/java,30,30,79,1269,147,910,212,428,220,"0,23",0,0,"0,00","0,00"
Directory Structure/mall-admin-oms/oms-server/src/main/java/com,30,30,79,1269,147,910,212,428,220,"0,23",0,0,"0,00","0,00"
Directory Structure/mall-admin-oms/oms-server/src/main/java/com/mtcarpenter,30,30,79,1269,147,910,212,428,220,"0,23",0,0,"0,00","0,00"
Directory Structure/mall-admin-oms/oms-server/src/main/java/com/mtcarpenter/mall,30,30,79,1269,147,910,212,428,220,"0,23",0,0,"0,00","0,00"
Directory Structure/mall-admin-oms/oms-server/src/main/java/com/mtcarpenter/mall/config,2,2,6,92,10,72,10,31,17,"0,14",0,0,"0,00","0,00"
Directory Structure/mall-admin-oms/oms-server/src/main/java/com/mtcarpenter/mall/controller,6,6,22,371,42,304,25,119,69,"0,08",0,0,"0,00","0,00"
Directory Structure/mall-admin-oms/oms-server/src/main/java/com/mtcarpenter/mall/dao,3,3,6,71,12,29,30,26,0,"1,03",0,0,"0,00","0,00"
Directory Structure/mall-admin-oms/oms-server/src/main/java/com/mtcarpenter/mall/dto,8,8,0,203,19,152,32,87,0,"0,21",0,0,"0,00","0,00"
Directory Structure/mall-admin-oms/oms-server/src/main/java/com/mtcarpenter/mall/service,10,10,44,516,62,344,110,160,133,"0,32",0,0,"0,00","0,00"
Directory Structure/mall-admin-oms/oms-server/src/main/java/com/mtcarpenter/mall/service/impl,5,5,23,348,32,289,27,115,133,"0,09",0,0,"0,00","0,00"
Directory Structure/mall-admin-pms/pms-common,2,2,1,56,11,29,16,21,0,"0,55",0,0,"0,00","0,00"
Directory Structure/mall-admin-pms/pms-mbg,110,56,3197,16694,3545,13119,31,4032,5856,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-pms/pms-server,46,44,220,2641,343,1889,409,832,535,"0,22",0,0,"0,00","0,00"
Directory Structure/mall-admin-pms/pms-common/src,2,2,1,56,11,29,16,21,0,"0,55",0,0,"0,00","0,00"
Directory Structure/mall-admin-pms/pms-common/src/main,2,2,1,56,11,29,16,21,0,"0,55",0,0,"0,00","0,00"
Directory Structure/mall-admin-pms/pms-common/src/main/java,2,2,1,56,11,29,16,21,0,"0,55",0,0,"0,00","0,00"
Directory Structure/mall-admin-pms/pms-common/src/main/java/com,2,2,1,56,11,29,16,21,0,"0,55",0,0,"0,00","0,00"
Directory Structure/mall-admin-pms/pms-common/src/main/java/com/mtcarpenter,2,2,1,56,11,29,16,21,0,"0,55",0,0,"0,00","0,00"
Directory Structure/mall-admin-pms/pms-common/src/main/java/com/mtcarpenter/mall,2,2,1,56,11,29,16,21,0,"0,55",0,0,"0,00","0,00"
Directory Structure/mall-admin-pms/pms-common/src/main/java/com/mtcarpenter/mall/client,1,1,1,29,6,12,11,9,0,"0,92",0,0,"0,00","0,00"
Directory Structure/mall-admin-pms/pms-common/src/main/java/com/mtcarpenter/mall/common,1,1,0,27,5,17,5,12,0,"0,29",0,0,"0,00","0,00"
Directory Structure/mall-admin-pms/pms-mbg/src,110,56,3197,16694,3545,13119,31,4032,5856,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-pms/pms-mbg/src/main,110,56,3197,16694,3545,13119,31,4032,5856,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-pms/pms-mbg/src/main/java,110,56,3197,16694,3545,13119,31,4032,5856,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-pms/pms-mbg/src/main/java/com,110,56,3197,16694,3545,13119,31,4032,5856,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-pms/pms-mbg/src/main/java/com/mtcarpenter,110,56,3197,16694,3545,13119,31,4032,5856,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-pms/pms-mbg/src/main/java/com/mtcarpenter/mall,110,56,3197,16694,3545,13119,31,4032,5856,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-pms/pms-mbg/src/main/java/com/mtcarpenter/mall/mapper,18,18,210,564,228,336,0,318,0,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-pms/pms-mbg/src/main/java/com/mtcarpenter/mall/model,90,36,2982,16019,3306,12713,0,3676,5830,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-pms/pms-server/src,46,44,220,2641,343,1889,409,832,535,"0,22",0,0,"0,00","0,00"
Directory Structure/mall-admin-pms/pms-server/src/main,46,44,220,2641,343,1889,409,832,535,"0,22",0,0,"0,00","0,00"
Directory Structure/mall-admin-pms/pms-server/src/main/java,46,44,220,2641,343,1889,409,832,535,"0,22",0,0,"0,00","0,00"
Directory Structure/mall-admin-pms/pms-server/src/main/java/com,46,44,220,2641,343,1889,409,832,535,"0,22",0,0,"0,00","0,00"
Directory Structure/mall-admin-pms/pms-server/src/main/java/com/mtcarpenter,46,44,220,2641,343,1889,409,832,535,"0,22",0,0,"0,00","0,00"
Directory Structure/mall-admin-pms/pms-server/src/main/java/com/mtcarpenter/mall,46,44,220,2641,343,1889,409,832,535,"0,22",0,0,"0,00","0,00"
Directory Structure/mall-admin-pms/pms-server/src/main/java/com/mtcarpenter/mall/config,2,2,6,92,10,72,10,31,17,"0,14",0,0,"0,00","0,00"
Directory Structure/mall-admin-pms/pms-server/src/main/java/com/mtcarpenter/mall/controller,7,7,43,660,69,562,29,188,135,"0,05",0,0,"0,00","0,00"
Directory Structure/mall-admin-pms/pms-server/src/main/java/com/mtcarpenter/mall/dao,11,11,12,191,36,75,80,64,0,"1,07",0,0,"0,00","0,00"
Directory Structure/mall-admin-pms/pms-server/src/main/java/com/mtcarpenter/mall/dto,9,9,60,494,94,365,35,162,60,"0,10",0,0,"0,00","0,00"
Directory Structure/mall-admin-pms/pms-server/src/main/java/com/mtcarpenter/mall/service,14,12,92,1131,124,766,241,363,313,"0,31",0,0,"0,00","0,00"
Directory Structure/mall-admin-pms/pms-server/src/main/java/com/mtcarpenter/mall/validator,2,2,6,55,8,38,9,18,9,"0,24",0,0,"0,00","0,00"
Directory Structure/mall-admin-pms/pms-server/src/main/java/com/mtcarpenter/mall/service/impl,8,6,50,830,70,670,90,281,313,"0,13",0,0,"0,00","0,00"
Directory Structure/mall-admin-sms/sms-mbg,80,41,1999,10571,2255,8286,31,2590,3670,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-sms/sms-server,41,41,166,2200,267,1582,351,697,435,"0,22",0,0,"0,00","0,00"
Directory Structure/mall-admin-sms/sms-mbg/src,80,41,1999,10571,2255,8286,31,2590,3670,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-sms/sms-mbg/src/main,80,41,1999,10571,2255,8286,31,2590,3670,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-sms/sms-mbg/src/main/java,80,41,1999,10571,2255,8286,31,2590,3670,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-sms/sms-mbg/src/main/java/com,80,41,1999,10571,2255,8286,31,2590,3670,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-sms/sms-mbg/src/main/java/com/mtcarpenter,80,41,1999,10571,2255,8286,31,2590,3670,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-sms/sms-mbg/src/main/java/com/mtcarpenter/mall,80,41,1999,10571,2255,8286,31,2590,3670,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-sms/sms-mbg/src/main/java/com/mtcarpenter/mall/mapper,13,13,143,390,156,234,0,221,0,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-sms/sms-mbg/src/main/java/com/mtcarpenter/mall/model,65,26,1851,10070,2088,7982,0,2331,3644,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-sms/sms-server/src,41,41,166,2200,267,1582,351,697,435,"0,22",0,0,"0,00","0,00"
Directory Structure/mall-admin-sms/sms-server/src/main,41,41,166,2200,267,1582,351,697,435,"0,22",0,0,"0,00","0,00"
Directory Structure/mall-admin-sms/sms-server/src/main/java,41,41,166,2200,267,1582,351,697,435,"0,22",0,0,"0,00","0,00"
Directory Structure/mall-admin-sms/sms-server/src/main/java/com,41,41,166,2200,267,1582,351,697,435,"0,22",0,0,"0,00","0,00"
Directory Structure/mall-admin-sms/sms-server/src/main/java/com/mtcarpenter,41,41,166,2200,267,1582,351,697,435,"0,22",0,0,"0,00","0,00"
Directory Structure/mall-admin-sms/sms-server/src/main/java/com/mtcarpenter/mall,41,41,166,2200,267,1582,351,697,435,"0,22",0,0,"0,00","0,00"
Directory Structure/mall-admin-sms/sms-server/src/main/java/com/mtcarpenter/mall/config,2,2,6,92,10,72,10,31,17,"0,14",0,0,"0,00","0,00"
