ID;Smell Type;TechDebt Index;Severity;Affected Type;Affected Elements;Size;Affected Elements (complete);Incoming dependencies (Fan In);Outgoing Dependencies (Fan Out);Adaptive threshold of total fan in and fan out;Detection rule;detectionValue;detectionThreshold
16720;Hublike Dependency;237;6;Package;com.ruoyi.system.api;18;com.ruoyi.system.api;11;7;com.ruoyi.system.api;Fan In + Fan Out > System's median (10);18;10
16704;Hublike Dependency;215;6;Package;com.ruoyi.system.domain;11;com.ruoyi.system.domain;5;5;com.ruoyi.system.domain;Fan In + Fan Out > System's median (10);10;10
16622;Unstable Dependency;180;6;Package;com.ruoyi.system.service;7;com.ruoyi.system.service;2;11;com.ruoyi.system.service;Instability gap > 20 %;0.6;0.2
16685;Hublike Dependency;118;6;Package;com.ruoyi.common.security;14;com.ruoyi.common.security;7;6;com.ruoyi.common.security;Fan In + Fan Out > System's median (10);13;10
16643;Hublike Dependency;106;6;Concrete Class;com.ruoyi.common.core.utils.poi.ExcelUtil;21;com.ruoyi.common.core.utils.poi.ExcelUtil;10;10;com.ruoyi.common.core.utils.poi.ExcelUtil;Fan In + Fan Out > System's median (10);20;10
16588;Cyclic Dependency;102;4;Package;com.ruoyi.system, com.ruoyi.common.log, com.ruoyi.common;3;com.ruoyi.system, com.ruoyi.common.log, com.ruoyi.common;0;0;;Cycle Detection;0;0
16669;Hublike Dependency;92;6;Concrete Class;com.ruoyi.gen.domain.GenTable;11;com.ruoyi.gen.domain.GenTable;6;4;com.ruoyi.gen.domain.GenTable;Fan In + Fan Out > System's median (10);10;10
16602;Unstable Dependency;54;6;Package;com.ruoyi.gateway;5;com.ruoyi.gateway;0;5;com.ruoyi.gateway;Instability gap > 20 %;1;0.2
16595;Cyclic Dependency;43;4;Package;com.ruoyi.job.util, com.ruoyi.job.service, com.ruoyi.job.domain;3;com.ruoyi.job.util, com.ruoyi.job.service, com.ruoyi.job.domain;0;0;;Cycle Detection;0;0
16463;Cyclic Dependency;42;5;Package;com.ruoyi.system.api.factory, com.ruoyi.system.api;2;com.ruoyi.system.api.factory, com.ruoyi.system.api;0;0;;Cycle Detection;0;0
16580;Cyclic Dependency;31;4;Package;com.ruoyi.common.core.utils, com.ruoyi.common.core.web.page, com.ruoyi.common.core.text, com.ruoyi.common.core.utils.sql;4;com.ruoyi.common.core.utils, com.ruoyi.common.core.web.page, com.ruoyi.common.core.text, com.ruoyi.common.core.utils.sql;0;0;;Cycle Detection;0;0
