"File","Dependant (Out)","Depends upon (In)","Weight"
"microservice-recruit/pf-recruit/src/main/java/com/stalary/pf/recruit/data/vo/RecruitAndCompany.java","com.stalary.pf.recruit.data.vo.RecruitAndCompany","com.stalary.pf.recruit.data.entity.RecruitEntity, com.stalary.pf.recruit.data.entity.CompanyEntity, com.stalary.pf.recruit.data.entity.RecruitEntity, com.stalary.pf.recruit.data.entity.CompanyEntity","1"
"microservice-recruit/pf-recruit/src/main/java/com/stalary/pf/recruit/data/vo/RecruitAndHrAndCompany.java","com.stalary.pf.recruit.data.vo.RecruitAndHrAndCompany","com.stalary.pf.recruit.data.entity.RecruitEntity, com.stalary.pf.recruit.data.entity.CompanyEntity, com.stalary.pf.recruit.data.entity.RecruitEntity, com.stalary.pf.recruit.data.entity.CompanyEntity","1"
"microservice-recruit/pf-recruit/src/main/java/com/stalary/pf/recruit/data/vo/CompanyAndRecruit.java","com.stalary.pf.recruit.data.vo.CompanyAndRecruit","com.stalary.pf.recruit.data.entity.RecruitEntity, com.stalary.pf.recruit.data.entity.CompanyEntity, com.stalary.pf.recruit.data.entity.RecruitEntity, com.stalary.pf.recruit.data.entity.CompanyEntity","1"
"microservice-recruit/pf-recruit/src/main/java/com/stalary/pf/recruit/data/vo/Candidate.java","com.stalary.pf.recruit.data.vo.Candidate","com.stalary.pf.recruit.data.dto.UserInfo, com.stalary.pf.recruit.data.dto.UserInfo","7"
".","com.stalary.pf.recruit.data.vo","com.stalary.pf.recruit.data.entity, com.stalary.pf.recruit.data.dto","6"
