ID;Smell Type;TechDebt Index;Severity;Affected Type;Affected Elements;Size;Affected Elements (complete);Incoming dependencies (Fan In);Outgoing Dependencies (Fan Out);Adaptive threshold of total fan in and fan out;Detection rule;detectionValue;detectionThreshold
14288;Hublike Dependency;107;6;Concrete Class;com.ruoyi.common.core.utils.poi.ExcelUtil;21;com.ruoyi.common.core.utils.poi.ExcelUtil;10;10;com.ruoyi.common.core.utils.poi.ExcelUtil;Fan In + Fan Out > System's median (10);20;10
14314;Hublike Dependency;93;6;Concrete Class;com.ruoyi.gen.domain.GenTable;11;com.ruoyi.gen.domain.GenTable;6;4;com.ruoyi.gen.domain.GenTable;Fan In + Fan Out > System's median (10);10;10
14257;Unstable Dependency;90;6;Package;com.ruoyi.system.service;6;com.ruoyi.system.service;2;7;com.ruoyi.system.service;Instability gap > 20 %;0.9;0.2
14268;Unstable Dependency;51;6;Package;com.ruoyi.gateway;5;com.ruoyi.gateway;0;5;com.ruoyi.gateway;Instability gap > 20 %;1;0.2
14358;Hublike Dependency;47;6;Package;com.ruoyi.common.core.web.controller;9;com.ruoyi.common.core.web.controller;3;5;com.ruoyi.common.core.web.controller;Fan In + Fan Out > System's median (8);8;8
14330;Hublike Dependency;43;6;Package;com.ruoyi.common.security.auth;9;com.ruoyi.common.security.auth;3;5;com.ruoyi.common.security.auth;Fan In + Fan Out > System's median (8);8;8
14344;Hublike Dependency;33;6;Package;com.ruoyi.common.core.context;9;com.ruoyi.common.core.context;5;3;com.ruoyi.common.core.context;Fan In + Fan Out > System's median (8);8;8
14249;Cyclic Dependency;31;4;Package;com.ruoyi.common.core.utils, com.ruoyi.common.core.web.page, com.ruoyi.common.core.text, com.ruoyi.common.core.utils.sql;4;com.ruoyi.common.core.utils, com.ruoyi.common.core.web.page, com.ruoyi.common.core.text, com.ruoyi.common.core.utils.sql;0;0;;Cycle Detection;0;0
14278;Unstable Dependency;29;6;Package;com.ruoyi.gateway.service;5;com.ruoyi.gateway.service;3;7;com.ruoyi.gateway.service;Instability gap > 20 %;0.6;0.2
14189;Cyclic Dependency;21;4;Package;com.ruoyi.common.security.config, com.ruoyi.common.security.annotation, com.ruoyi.common.security.interceptor, com.ruoyi.common.security.auth;4;com.ruoyi.common.security.config, com.ruoyi.common.security.annotation, com.ruoyi.common.security.interceptor, com.ruoyi.common.security.auth;0;0;;Cycle Detection;0;0
14224;Cyclic Dependency;17;3;Concrete Class;com.ruoyi.common.core.text.StrFormatter, com.ruoyi.common.core.text.Convert, com.ruoyi.common.core.utils.StringUtils;3;com.ruoyi.common.core.text.StrFormatter, com.ruoyi.common.core.text.Convert, com.ruoyi.common.core.utils.StringUtils;0;0;;Cycle Detection;0;0
14210;Cyclic Dependency;13;4;Package;com.ruoyi.job.util, com.ruoyi.job.service;2;com.ruoyi.job.util, com.ruoyi.job.service;0;0;;Cycle Detection;0;0
14203;Cyclic Dependency;9;4;Package;com.ruoyi.gateway.handler, com.ruoyi.gateway.config, com.ruoyi.gateway.service;3;com.ruoyi.gateway.handler, com.ruoyi.gateway.config, com.ruoyi.gateway.service;0;0;;Cycle Detection;0;0
14197;Cyclic Dependency;8;4;Package;com.ruoyi.common.sensitive.config, com.ruoyi.common.sensitive.annotation;2;com.ruoyi.common.sensitive.config, com.ruoyi.common.sensitive.annotation;0;0;;Cycle Detection;0;0
14216;Cyclic Dependency;8;3;Concrete Class;com.ruoyi.common.core.text.StrFormatter, com.ruoyi.common.core.text.CharsetKit, com.ruoyi.common.core.text.Convert, com.ruoyi.common.core.utils.StringUtils;4;com.ruoyi.common.core.text.StrFormatter, com.ruoyi.common.core.text.CharsetKit, com.ruoyi.common.core.text.Convert, com.ruoyi.common.core.utils.StringUtils;0;0;;Cycle Detection;0;0
14231;Cyclic Dependency;8;4;Concrete Class;com.ruoyi.common.core.text.StrFormatter, com.ruoyi.common.core.utils.StringUtils;2;com.ruoyi.common.core.text.StrFormatter, com.ruoyi.common.core.utils.StringUtils;0;0;;Cycle Detection;0;0
14243;Cyclic Dependency;7;3;Implementation;com.ruoyi.common.sensitive.annotation.Sensitive, com.ruoyi.common.sensitive.config.SensitiveJsonSerializer;2;com.ruoyi.common.sensitive.annotation.Sensitive, com.ruoyi.common.sensitive.config.SensitiveJsonSerializer;0;0;;Cycle Detection;0;0
14237;Cyclic Dependency;7;4;Implementation;com.ruoyi.common.core.xss.XssValidator, com.ruoyi.common.core.xss.Xss;2;com.ruoyi.common.core.xss.XssValidator, com.ruoyi.common.core.xss.Xss;0;0;;Cycle Detection;0;0
