"ID","Smell Type","TechDebt Index","Severity","Affected Type","Affected Elements","Size","Affected Elements (complete)","Incoming dependencies (Fan In)","Outgoing Dependencies (Fan Out)","Adaptive threshold of total fan in and fan out","Detection rule","detectionValue","detectionThreshold"
"14789","Hublike Dependency","114","6","Package","com.ruoyi.common.security","13","com.ruoyi.common.security","7","5","com.ruoyi.common.security","Fan In + Fan Out > System's median (12)","12","12"
"14747","Hublike Dependency","110","6","Concrete Class","com.ruoyi.common.core.utils.poi.ExcelUtil","21","com.ruoyi.common.core.utils.poi.ExcelUtil","10","10","com.ruoyi.common.core.utils.poi.ExcelUtil","Fan In + Fan Out > System's median (10)","20","10"
"14773","Hublike Dependency","93","6","Concrete Class","com.ruoyi.gen.domain.GenTable","11","com.ruoyi.gen.domain.GenTable","6","4","com.ruoyi.gen.domain.GenTable","Fan In + Fan Out > System's median (10)","10","10"
"14716","Unstable Dependency","92","6","Package","com.ruoyi.system.service","6","com.ruoyi.system.service","2","7","com.ruoyi.system.service","Instability gap > 20 %","0.9","0.2"
"14727","Unstable Dependency","55","6","Package","com.ruoyi.gateway","5","com.ruoyi.gateway","0","5","com.ruoyi.gateway","Instability gap > 20 %","1","0.2"
"14709","Cyclic Dependency","43","4","Package","com.ruoyi.job.util, com.ruoyi.job.service, com.ruoyi.job.domain","3","com.ruoyi.job.util, com.ruoyi.job.service, com.ruoyi.job.domain","0","0","","Cycle Detection","0","0"
"14701","Cyclic Dependency","31","4","Package","com.ruoyi.common.core.utils, com.ruoyi.common.core.web.page, com.ruoyi.common.core.text, com.ruoyi.common.core.utils.sql","4","com.ruoyi.common.core.utils, com.ruoyi.common.core.web.page, com.ruoyi.common.core.text, com.ruoyi.common.core.utils.sql","0","0","","Cycle Detection","0","0"
"14647","Cyclic Dependency","31","4","Package","com.ruoyi.job.util, com.ruoyi.job.service, com.ruoyi.job.domain","3","com.ruoyi.job.util, com.ruoyi.job.service, com.ruoyi.job.domain","0","0","","Cycle Detection","0","0"
"14737","Unstable Dependency","27","6","Package","com.ruoyi.gateway.service","5","com.ruoyi.gateway.service","3","7","com.ruoyi.gateway.service","Instability gap > 20 %","0.6","0.2"
"14620","Cyclic Dependency","21","4","Package","com.ruoyi.common.security.config, com.ruoyi.common.security.annotation, com.ruoyi.common.security.interceptor, com.ruoyi.common.security.auth","4","com.ruoyi.common.security.config, com.ruoyi.common.security.annotation, com.ruoyi.common.security.interceptor, com.ruoyi.common.security.auth","0","0","","Cycle Detection","0","0"
"14676","Cyclic Dependency","17","3","Concrete Class","com.ruoyi.common.core.text.StrFormatter, com.ruoyi.common.core.text.Convert, com.ruoyi.common.core.utils.StringUtils","3","com.ruoyi.common.core.text.StrFormatter, com.ruoyi.common.core.text.Convert, com.ruoyi.common.core.utils.StringUtils","0","0","","Cycle Detection","0","0"
"14654","Cyclic Dependency","15","3","Package","com.ruoyi.job.util, com.ruoyi.job.service, com.ruoyi.job.mapper, com.ruoyi.job.domain","4","com.ruoyi.job.util, com.ruoyi.job.service, com.ruoyi.job.mapper, com.ruoyi.job.domain","0","0","","Cycle Detection","0","0"
"14634","Cyclic Dependency","9","4","Package","com.ruoyi.gateway.handler, com.ruoyi.gateway.config, com.ruoyi.gateway.service","3","com.ruoyi.gateway.handler, com.ruoyi.gateway.config, com.ruoyi.gateway.service","0","0","","Cycle Detection","0","0"
"14628","Cyclic Dependency","8","4","Package","com.ruoyi.common.sensitive.config, com.ruoyi.common.sensitive.annotation","2","com.ruoyi.common.sensitive.config, com.ruoyi.common.sensitive.annotation","0","0","","Cycle Detection","0","0"
"14668","Cyclic Dependency","8","3","Concrete Class","com.ruoyi.common.core.text.StrFormatter, com.ruoyi.common.core.text.CharsetKit, com.ruoyi.common.core.text.Convert, com.ruoyi.common.core.utils.StringUtils","4","com.ruoyi.common.core.text.StrFormatter, com.ruoyi.common.core.text.CharsetKit, com.ruoyi.common.core.text.Convert, com.ruoyi.common.core.utils.StringUtils","0","0","","Cycle Detection","0","0"
"14683","Cyclic Dependency","8","4","Concrete Class","com.ruoyi.common.core.text.StrFormatter, com.ruoyi.common.core.utils.StringUtils","2","com.ruoyi.common.core.text.StrFormatter, com.ruoyi.common.core.utils.StringUtils","0","0","","Cycle Detection","0","0"
"14695","Cyclic Dependency","7","3","Implementation","com.ruoyi.common.sensitive.annotation.Sensitive, com.ruoyi.common.sensitive.config.SensitiveJsonSerializer","2","com.ruoyi.common.sensitive.annotation.Sensitive, com.ruoyi.common.sensitive.config.SensitiveJsonSerializer","0","0","","Cycle Detection","0","0"
"14689","Cyclic Dependency","7","4","Implementation","com.ruoyi.common.core.xss.XssValidator, com.ruoyi.common.core.xss.Xss","2","com.ruoyi.common.core.xss.XssValidator, com.ruoyi.common.core.xss.Xss","0","0","","Cycle Detection","0","0"
