"File","Dependant (Out)","Depends upon (In)","Weight"
"mall-cloud-alibaba-master/mall-admin-sms/sms-server/src/main/java/com/mtcarpenter/mall/service/SmsFlashPromotionSessionService.java","com.mtcarpenter.mall.service.SmsFlashPromotionSessionService","com.mtcarpenter.mall.dto.SmsFlashPromotionSessionDetail, com.mtcarpenter.mall.model.SmsFlashPromotionSession, com.mtcarpenter.mall.dto.SmsFlashPromotionSessionDetail, com.mtcarpenter.mall.model.SmsFlashPromotionSession","1"
"mall-cloud-alibaba-master/mall-admin-sms/sms-server/src/main/java/com/mtcarpenter/mall/service/SmsFlashPromotionProductRelationService.java","com.mtcarpenter.mall.service.SmsFlashPromotionProductRelationService","com.mtcarpenter.mall.dto.SmsFlashPromotionProduct, com.mtcarpenter.mall.model.SmsFlashPromotionProductRelation, com.mtcarpenter.mall.dto.SmsFlashPromotionProduct, com.mtcarpenter.mall.model.SmsFlashPromotionProductRelation","1"
"mall-cloud-alibaba-master/mall-admin-sms/sms-server/src/main/java/com/mtcarpenter/mall/service/SmsCouponService.java","com.mtcarpenter.mall.service.SmsCouponService","com.mtcarpenter.mall.dto.SmsCouponParam, com.mtcarpenter.mall.model.SmsCoupon, com.mtcarpenter.mall.dto.SmsCouponParam, com.mtcarpenter.mall.model.SmsCoupon","3"
"mall-cloud-alibaba-master/mall-admin-ums/ums-server/src/main/java/com/mtcarpenter/mall/service/UmsPermissionService.java","com.mtcarpenter.mall.service.UmsPermissionService","com.mtcarpenter.mall.dto.UmsPermissionNode, com.mtcarpenter.mall.model.UmsPermission, com.mtcarpenter.mall.dto.UmsPermissionNode, com.mtcarpenter.mall.model.UmsPermission","1"
"mall-cloud-alibaba-master/mall-admin-pms/pms-server/src/main/java/com/mtcarpenter/mall/service/PmsBrandService.java","com.mtcarpenter.mall.service.PmsBrandService","com.mtcarpenter.mall.dto.PmsBrandParam, com.mtcarpenter.mall.model.PmsBrand, com.mtcarpenter.mall.dto.PmsBrandParam, com.mtcarpenter.mall.model.PmsBrand","2"
"mall-cloud-alibaba-master/mall-admin-ums/ums-server/src/main/java/com/mtcarpenter/mall/service/UmsMenuService.java","com.mtcarpenter.mall.service.UmsMenuService","com.mtcarpenter.mall.dto.UmsMenuNode, com.mtcarpenter.mall.model.UmsMenu, com.mtcarpenter.mall.dto.UmsMenuNode, com.mtcarpenter.mall.model.UmsMenu","1"
"mall-cloud-alibaba-master/mall-admin-pms/pms-server/src/main/java/com/mtcarpenter/mall/service/PmsProductAttributeCategoryService.java","com.mtcarpenter.mall.service.PmsProductAttributeCategoryService","com.mtcarpenter.mall.dto.PmsProductAttributeCategoryItem, com.mtcarpenter.mall.model.PmsProductAttributeCategory, com.mtcarpenter.mall.dto.PmsProductAttributeCategoryItem, com.mtcarpenter.mall.model.PmsProductAttributeCategory","1"
"mall-cloud-alibaba-master/mall-admin-sms/sms-server/src/main/java/com/mtcarpenter/mall/service/SmsHomeBrandService.java","com.mtcarpenter.mall.service.SmsHomeBrandService","com.mtcarpenter.mall.model.SmsHomeBrand, com.mtcarpenter.mall.model.SmsHomeBrand","2"
"mall-cloud-alibaba-master/mall-admin-sms/sms-server/src/main/java/com/mtcarpenter/mall/service/SmsHomeRecommendProductService.java","com.mtcarpenter.mall.service.SmsHomeRecommendProductService","com.mtcarpenter.mall.model.SmsHomeRecommendProduct, com.mtcarpenter.mall.model.SmsHomeRecommendProduct","2"
"mall-cloud-alibaba-master/mall-admin-oms/oms-server/src/main/java/com/mtcarpenter/mall/service/OmsOrderSettingService.java","com.mtcarpenter.mall.service.OmsOrderSettingService","com.mtcarpenter.mall.model.OmsOrderSetting, com.mtcarpenter.mall.model.OmsOrderSetting","2"
"mall-cloud-alibaba-master/mall-admin-ums/ums-server/src/main/java/com/mtcarpenter/mall/service/UmsRoleService.java","com.mtcarpenter.mall.service.UmsRoleService","com.mtcarpenter.mall.model.UmsPermission, com.mtcarpenter.mall.model.UmsRole, com.mtcarpenter.mall.model.UmsMenu, com.mtcarpenter.mall.model.UmsResource, com.mtcarpenter.mall.model.UmsPermission, com.mtcarpenter.mall.model.UmsRole, com.mtcarpenter.mall.model.UmsMenu, com.mtcarpenter.mall.model.UmsResource","1"
"mall-cloud-alibaba-master/mall-admin-ums/ums-server/src/main/java/com/mtcarpenter/mall/service/UmsMemberLevelService.java","com.mtcarpenter.mall.service.UmsMemberLevelService","com.mtcarpenter.mall.model.UmsMemberLevel, com.mtcarpenter.mall.model.UmsMemberLevel","1"
"mall-cloud-alibaba-master/mall-admin-ums/ums-server/src/main/java/com/mtcarpenter/mall/service/UmsAdminCacheService.java","com.mtcarpenter.mall.service.UmsAdminCacheService","com.mtcarpenter.mall.model.UmsResource, com.mtcarpenter.mall.model.UmsAdmin, com.mtcarpenter.mall.model.UmsResource, com.mtcarpenter.mall.model.UmsAdmin","2"
"mall-cloud-alibaba-master/mall-admin-oms/oms-server/src/main/java/com/mtcarpenter/mall/service/OmsOrderReturnReasonService.java","com.mtcarpenter.mall.service.OmsOrderReturnReasonService","com.mtcarpenter.mall.model.OmsOrderReturnReason, com.mtcarpenter.mall.model.OmsOrderReturnReason","4"
"mall-cloud-alibaba-master/mall-admin-ums/ums-server/src/main/java/com/mtcarpenter/mall/service/UmsAdminPermissionService.java","com.mtcarpenter.mall.service.UmsAdminPermissionService","com.mtcarpenter.mall.model.UmsResource, com.mtcarpenter.mall.model.UmsPermission, com.mtcarpenter.mall.model.UmsResource, com.mtcarpenter.mall.model.UmsPermission","1"
"mall-cloud-alibaba-master/mall-admin-ums/ums-server/src/main/java/com/mtcarpenter/mall/service/UmsAdminRoleService.java","com.mtcarpenter.mall.service.UmsAdminRoleService","com.mtcarpenter.mall.model.UmsRole, com.mtcarpenter.mall.model.UmsRole","1"
"mall-cloud-alibaba-master/mall-admin-oms/oms-server/src/main/java/com/mtcarpenter/mall/service/OmsCompanyAddressService.java","com.mtcarpenter.mall.service.OmsCompanyAddressService","com.mtcarpenter.mall.model.OmsCompanyAddress, com.mtcarpenter.mall.model.OmsCompanyAddress","1"
"mall-cloud-alibaba-master/mall-admin-sms/sms-server/src/main/java/com/mtcarpenter/mall/service/SmsCouponHistoryService.java","com.mtcarpenter.mall.service.SmsCouponHistoryService","com.mtcarpenter.mall.model.SmsCouponHistory, com.mtcarpenter.mall.model.SmsCouponHistory","1"
"mall-cloud-alibaba-master/mall-admin-pms/pms-server/src/main/java/com/mtcarpenter/mall/service/PmsSkuStockService.java","com.mtcarpenter.mall.service.PmsSkuStockService","com.mtcarpenter.mall.model.PmsSkuStock, com.mtcarpenter.mall.model.PmsSkuStock","2"
"mall-cloud-alibaba-master/mall-admin-sms/sms-server/src/main/java/com/mtcarpenter/mall/service/SmsHomeRecommendSubjectService.java","com.mtcarpenter.mall.service.SmsHomeRecommendSubjectService","com.mtcarpenter.mall.model.SmsHomeRecommendSubject, com.mtcarpenter.mall.model.SmsHomeRecommendSubject","2"
"mall-cloud-alibaba-master/mall-admin-ums/ums-server/src/main/java/com/mtcarpenter/mall/service/UmsResourceCategoryService.java","com.mtcarpenter.mall.service.UmsResourceCategoryService","com.mtcarpenter.mall.model.UmsResourceCategory, com.mtcarpenter.mall.model.UmsResourceCategory","3"
"mall-cloud-alibaba-master/mall-admin-ums/ums-server/src/main/java/com/mtcarpenter/mall/service/UmsResourceService.java","com.mtcarpenter.mall.service.UmsResourceService","com.mtcarpenter.mall.model.UmsResource, com.mtcarpenter.mall.model.UmsResource","5"
"mall-cloud-alibaba-master/mall-admin-sms/sms-server/src/main/java/com/mtcarpenter/mall/service/SmsFlashPromotionService.java","com.mtcarpenter.mall.service.SmsFlashPromotionService","com.mtcarpenter.mall.model.SmsFlashPromotion, com.mtcarpenter.mall.model.SmsFlashPromotion","4"
"mall-cloud-alibaba-master/mall-admin-sms/sms-server/src/main/java/com/mtcarpenter/mall/service/SmsHomeAdvertiseService.java","com.mtcarpenter.mall.service.SmsHomeAdvertiseService","com.mtcarpenter.mall.model.SmsHomeAdvertise, com.mtcarpenter.mall.model.SmsHomeAdvertise","4"
"mall-cloud-alibaba-master/mall-admin-ums/ums-server/src/main/java/com/mtcarpenter/mall/service/UmsAdminProfileService.java","com.mtcarpenter.mall.service.UmsAdminProfileService","com.mtcarpenter.mall.model.UmsAdmin, com.mtcarpenter.mall.model.UmsAdmin","4"
"mall-cloud-alibaba-master/mall-admin-sms/sms-server/src/main/java/com/mtcarpenter/mall/service/SmsHomeNewProductService.java","com.mtcarpenter.mall.service.SmsHomeNewProductService","com.mtcarpenter.mall.model.SmsHomeNewProduct, com.mtcarpenter.mall.model.SmsHomeNewProduct","2"
".","com.mtcarpenter.mall.service","com.mtcarpenter.mall.common, com.mtcarpenter.mall.security, com.mtcarpenter.mall.dto, com.mtcarpenter.mall.model","7"
