Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic
File,"OmsOrderReturnReasonService.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,6,6,0,6,,6,0,0,0,,41,8,11,10,0,22,,9,10,10,0,,0,,0,,,"2,00",0
File,"OmsOrderReturnReasonServiceImpl.java",6,0,6,0,1,"0,00","0,00",0,0,,,,,1,0,0,6,,6,6,1,6,,0,0,0,6,,65,8,53,30,19,4,,29,37,22,19,,2,,1,,,"0,08",7
File,"OmsOrderService.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,8,8,0,8,,8,0,0,0,,58,10,20,19,0,28,,13,14,14,0,,0,,0,,,"1,40",0
File,"OmsOrderServiceImpl.java",13,0,13,0,1,"0,00","0,00",0,0,,,,,1,0,0,10,,10,8,4,8,,0,0,0,8,,153,11,134,63,83,8,,100,109,48,80,,1,,0,,,"0,06",10
File,"OmsOrderSetting.java",4,0,4,0,1,"0,00","0,00",0,0,,,,,1,0,1,13,,13,13,6,13,,0,0,0,13,,85,16,69,31,26,0,,35,49,25,25,,1,,0,,,"0,00",13
File,"OmsOrderSetting.java",4,0,4,0,1,"0,00","0,00",0,0,,,,,1,0,1,13,,13,13,6,13,,0,0,0,13,,90,21,69,31,26,0,,35,49,25,25,,1,,0,,,"0,00",13
File,"OmsOrderSettingController.java",9,0,9,0,2,"0,00","0,00",0,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,41,4,33,25,6,4,,15,19,15,6,,2,,1,,,"0,12",3
File,"OmsOrderSettingExample.java",4,0,4,0,1,"0,00","0,00",0,0,,,,,4,0,0,104,,104,104,12,104,,0,0,11,93,,560,118,442,126,206,0,,215,328,126,205,,2,,1,,,"0,00",109
File,"OmsOrderSettingExample.java",4,0,4,0,1,"0,00","0,00",0,0,,,,,4,0,0,104,,104,104,12,104,,0,0,11,93,,560,118,442,126,206,0,,215,328,126,205,,2,,1,,,"0,00",109
File,"OmsOrderSettingMapper.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,11,11,0,11,,11,0,0,0,,30,12,18,17,0,0,,16,17,17,0,,0,,0,,,"0,00",0
File,"OmsOrderSettingMapper.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,11,11,0,11,,11,0,0,0,,30,12,18,17,0,0,,16,17,17,0,,0,,0,,,"0,00",0
File,"OmsOrderSettingService.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,19,3,6,5,0,10,,4,5,5,0,,0,,0,,,"1,67",0
File,"OmsOrderSettingServiceImpl.java",5,0,5,0,1,"0,00","0,00",0,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,28,4,20,14,3,4,,10,13,10,3,,1,,0,,,"0,20",2
File,"OmsPortalOrderController.java",7,0,7,0,1,"0,00","0,00",0,0,,,,,1,0,0,10,,10,10,1,10,,0,0,0,10,,113,13,96,70,20,4,,36,47,32,20,,1,,0,,,"0,04",10
File,"OmsPortalOrderReturnApplyController.java",10,0,10,0,2,"0,00","0,00",0,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,36,3,29,23,4,4,,16,19,16,4,,2,,1,,,"0,14",2
File,"OmsPortalOrderReturnApplyService.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,14,2,5,4,0,7,,3,4,4,0,,0,,0,,,"1,40",0
File,"OmsPortalOrderReturnApplyServiceImpl.java",8,0,8,0,1,"0,00","0,00",0,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,29,3,22,16,5,4,,15,17,13,5,,1,,0,,,"0,18",1
File,"OmsPortalOrderService.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,10,10,0,10,,10,0,0,0,,71,12,24,23,0,35,,18,19,19,0,,0,,0,,,"1,46",0
File,"OmsPortalOrderServiceImpl.java",21,0,16,5,3,"0,00","0,00",0,0,,,,,1,0,0,30,,30,29,19,29,,0,19,0,10,,744,42,559,200,352,143,,320,443,193,331,,16,,3,,,"0,26",97
File,"OmsPromotionService.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,18,3,7,6,0,8,,5,6,6,0,,0,,0,,,"1,14",0
File,"OmsPromotionServiceImpl.java",17,0,14,3,3,"0,00","0,00",0,0,,,,,3,0,0,14,,14,14,1,14,,0,11,0,3,,276,18,210,67,141,48,,123,175,79,130,,10,,4,,,"0,23",38
File,"OmsReceiverInfoParam.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,0,0,9,0,,0,0,0,0,,32,2,26,25,0,4,,13,14,14,0,,0,,0,,,"0,15",0
File,"OmsReturnApplyQueryParam.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,0,0,6,0,,0,0,0,0,,26,2,20,19,0,4,,10,11,11,0,,0,,0,,,"0,20",0
File,"OmsUpdateStatusParam.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,0,0,8,0,,0,0,0,0,,32,3,25,24,0,4,,13,14,14,0,,0,,0,,,"0,16",0
File,"OrderFeign.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,25,4,13,12,0,8,,9,10,10,0,,0,,0,,,"0,62",0
File,"OrderParam.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,0,0,5,0,,0,0,0,0,,26,3,19,18,0,4,,10,11,11,0,,0,,0,,,"0,21",0
File,"OrderTimeOutCancelTask.java",9,0,5,4,1,"0,00","0,00",0,0,,,,,1,0,0,1,,1,1,2,1,,0,1,0,0,,29,3,18,15,3,8,,11,13,12,3,,1,,0,,,"0,44",1
File,"OssCallbackParam.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,0,0,3,0,,0,0,0,0,,20,2,14,13,0,4,,7,8,8,0,,0,,0,,,"0,29",0
File,"OssCallbackResult.java",3,0,3,0,1,"0,00","0,00",0,0,,,,,1,0,0,10,,10,10,5,10,,0,0,0,10,,60,12,44,23,10,4,,17,28,18,10,,1,,0,,,"0,09",10
File,"OssConfig.java",4,0,4,0,1,"0,00","0,00",0,0,,,,,1,0,0,1,,1,1,3,1,,0,0,0,1,,24,2,18,15,1,4,,9,11,10,1,,1,,0,,,"0,22",1
File,"OssController.java",7,0,7,0,1,"0,00","0,00",0,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,45,7,34,29,4,4,,18,21,19,4,,1,,0,,,"0,12",2
File,"OssPolicyResult.java",3,0,3,0,1,"0,00","0,00",0,0,,,,,1,0,0,12,,12,12,6,12,,0,0,0,12,,70,14,52,27,12,4,,20,33,21,12,,1,,0,,,"0,08",12
File,"OssService.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,21,3,8,7,0,10,,6,7,7,0,,0,,0,,,"1,25",0
File,"OssServiceImpl.java",27,0,23,6,2,"0,00","0,00",0,0,,,,,1,0,1,2,,2,2,7,2,,0,0,0,2,,102,8,81,55,39,15,,62,66,45,36,,2,,1,,,"0,19",3
Unknown Annotation,"PathVariable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",
File,"PmsAdminApplication.java",3,0,3,0,1,"0,00","0,00",0,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,18,2,11,8,1,5,,5,7,6,1,,1,,0,,,"0,45",1
File,"PmsAlbum.java",4,0,4,0,1,"0,00","0,00",0,0,,,,,1,0,1,13,,13,13,6,13,,0,0,0,13,,78,15,63,25,26,0,,34,48,24,25,,1,,0,,,"0,00",13
File,"PmsAlbum.java",4,0,4,0,1,"0,00","0,00",0,0,,,,,1,0,1,13,,13,13,6,13,,0,0,0,13,,85,21,64,26,26,0,,35,49,25,25,,1,,0,,,"0,00",13
File,"PmsAlbumExample.java",4,0,4,0,1,"0,00","0,00",0,0,,,,,4,0,0,110,,110,110,12,110,,0,0,11,99,,590,124,466,132,218,0,,227,346,132,217,,2,,1,,,"0,00",115
File,"PmsAlbumExample.java",4,0,4,0,1,"0,00","0,00",0,0,,,,,4,0,0,110,,110,110,12,110,,0,0,11,99,,590,124,466,132,218,0,,227,346,132,217,,2,,1,,,"0,00",115
File,"PmsAlbumMapper.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,11,11,0,11,,11,0,0,0,,30,12,18,17,0,0,,16,17,17,0,,0,,0,,,"0,00",0
File,"PmsAlbumMapper.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,11,11,0,11,,11,0,0,0,,30,12,18,17,0,0,,16,17,17,0,,0,,0,,,"0,00",0
File,"PmsAlbumPic.java",4,0,4,0,1,"0,00","0,00",0,0,,,,,1,0,1,7,,7,7,3,7,,0,0,0,7,,48,9,39,16,17,0,,22,30,15,16,,1,,0,,,"0,00",7
File,"PmsAlbumPic.java",4,0,4,0,1,"0,00","0,00",0,0,,,,,1,0,1,7,,7,7,3,7,,0,0,0,7,,52,12,40,17,17,0,,23,31,16,16,,1,,0,,,"0,00",7
File,"PmsAlbumPicExample.java",4,0,4,0,1,"0,00","0,00",0,0,,,,,4,0,0,70,,70,70,12,70,,0,0,11,59,,390,84,306,92,138,0,,147,226,92,137,,2,,1,,,"0,00",75
File,"PmsAlbumPicExample.java",4,0,4,0,1,"0,00","0,00",0,0,,,,,4,0,0,70,,70,70,12,70,,0,0,11,59,,390,84,306,92,138,0,,147,226,92,137,,2,,1,,,"0,00",75
File,"PmsAlbumPicMapper.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,11,11,0,11,,11,0,0,0,,30,12,18,17,0,0,,16,17,17,0,,0,,0,,,"0,00",0
File,"PmsAlbumPicMapper.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,11,11,0,11,,11,0,0,0,,30,12,18,17,0,0,,16,17,17,0,,0,,0,,,"0,00",0
File,"PmsBrand.java",4,0,4,0,1,"0,00","0,00",0,0,,,,,1,0,1,23,,23,23,11,23,,0,0,0,23,,137,26,111,48,41,0,,55,79,40,40,,1,,0,,,"0,00",23
File,"PmsBrand.java",4,0,4,0,1,"0,00","0,00",0,0,,,,,1,0,1,23,,23,23,11,23,,0,0,0,23,,147,36,111,48,41,0,,55,79,40,40,,1,,0,,,"0,00",23
File,"PmsBrandController.java",11,0,11,0,2,"0,00","0,00",0,0,,,,,1,0,0,9,,9,9,1,9,,0,0,0,9,,132,12,116,71,36,4,,41,57,34,30,,2,,1,,,"0,03",15
File,"PmsBrandExample.java",4,0,4,0,1,"0,00","0,00",0,0,,,,,4,0,0,160,,160,160,12,160,,0,0,11,149,,840,174,666,182,318,0,,327,496,182,317,,2,,1,,,"0,00",165
File,"PmsBrandExample.java",4,0,4,0,1,"0,00","0,00",0,0,,,,,4,0,0,160,,160,160,12,160,,0,0,11,149,,840,174,666,182,318,0,,327,496,182,317,,2,,1,,,"0,00",165
File,"PmsBrandMapper.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,14,14,0,14,,14,0,0,0,,36,15,21,20,0,0,,19,20,20,0,,0,,0,,,"0,00",0
File,"PmsBrandMapper.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,14,14,0,14,,14,0,0,0,,36,15,21,20,0,0,,19,20,20,0,,0,,0,,,"0,00",0
File,"PmsBrandParam.java",3,0,3,0,1,"0,00","0,00",0,0,,,,,1,0,0,16,,16,16,8,16,,0,0,0,16,,99,19,76,43,16,4,,29,46,30,16,,1,,0,,,"0,05",16
File,"PmsBrandService.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,9,9,0,9,,9,0,0,0,,59,11,17,16,0,31,,14,15,15,0,,0,,0,,,"1,82",0
File,"PmsBrandServiceImpl.java",8,0,8,0,1,"0,00","0,00",0,0,,,,,1,0,0,9,,9,9,2,9,,0,0,0,9,,110,12,91,50,39,7,,53,66,38,39,,2,,1,,,"0,08",12
File,"PmsComment.java",4,0,4,0,1,"0,00","0,00",0,0,,,,,1,0,1,31,,31,31,15,31,,0,0,0,31,,176,34,142,59,53,0,,72,104,53,52,,1,,0,,,"0,00",31
File,"PmsComment.java",4,0,4,0,1,"0,00","0,00",0,0,,,,,1,0,1,31,,31,31,15,31,,0,0,0,31,,190,48,142,59,53,0,,72,104,53,52,,1,,0,,,"0,00",31
File,"PmsCommentExample.java",4,0,4,0,1,"0,00","0,00",0,0,,,,,4,0,0,212,,212,212,12,212,,0,0,11,201,,1101,226,875,235,422,0,,432,653,235,421,,2,,1,,,"0,00",217
File,"PmsCommentExample.java",4,0,4,0,1,"0,00","0,00",0,0,,,,,4,0,0,212,,212,212,12,212,,0,0,11,201,,1101,226,875,235,422,0,,432,653,235,421,,2,,1,,,"0,00",217
File,"PmsCommentMapper.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,14,14,0,14,,14,0,0,0,,36,15,21,20,0,0,,19,20,20,0,,0,,0,,,"0,00",0
File,"PmsCommentMapper.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,14,14,0,14,,14,0,0,0,,36,15,21,20,0,0,,19,20,20,0,,0,,0,,,"0,00",0
File,"PmsCommentReplay.java",4,0,4,0,1,"0,00","0,00",0,0,,,,,1,0,1,15,,15,15,7,15,,0,0,0,15,,92,18,74,31,29,0,,40,56,29,28,,1,,0,,,"0,00",15
File,"PmsCommentReplay.java",4,0,4,0,1,"0,00","0,00",0,0,,,,,1,0,1,15,,15,15,7,15,,0,0,0,15,,98,24,74,31,29,0,,40,56,29,28,,1,,0,,,"0,00",15
File,"PmsCommentReplayExample.java",4,0,4,0,1,"0,00","0,00",0,0,,,,,4,0,0,122,,122,122,12,122,,0,0,11,111,,651,136,515,145,242,0,,252,383,145,241,,2,,1,,,"0,00",127
File,"PmsCommentReplayExample.java",4,0,4,0,1,"0,00","0,00",0,0,,,,,4,0,0,122,,122,122,12,122,,0,0,11,111,,651,136,515,145,242,0,,252,383,145,241,,2,,1,,,"0,00",127
