Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic
File,"Consumer.java",10,0,9,1,2,"0,00","0,00",0,0,,,,,1,0,6,7,,7,7,0,7,,0,3,0,4,,117,18,83,54,38,16,,51,63,44,37,,5,,1,,,"0,19",11
File,"ConsumerApplication.java",3,0,3,0,1,"0,00","0,00",0,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,18,5,13,10,1,0,,6,8,7,1,,1,,0,,,"0,00",1
File,"ConsumerApplicationTests.java",3,0,3,0,1,"0,00","0,00",0,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,5,12,10,0,0,,5,7,7,0,,1,,0,,,"0,00",1
File,"CorsConfig.java",15,0,15,1,2,"0,00","0,00",0,0,,,,,1,0,1,4,,4,3,0,3,,0,0,0,3,,70,5,58,34,23,7,,37,44,29,20,,4,,2,,,"0,12",7
File,"CreateTime.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,16,2,9,8,0,5,,5,6,6,0,,0,,0,,,"0,56",0
Unknown Annotation,"DeleteMapping",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",
File,"Email.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,0,0,3,0,,0,0,0,0,,28,5,12,11,0,11,,7,8,8,0,,0,,0,,,"0,92",0
File,"Email.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,0,0,3,0,,0,0,0,0,,28,5,12,11,0,11,,7,8,8,0,,0,,0,,,"0,92",0
Unknown Annotation,"Entity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",
File,"ExceptionHandle.java",11,0,7,4,1,"0,00","0,00",0,0,,,,,2,0,0,10,,10,8,4,8,,0,1,1,6,,178,19,99,51,45,60,,61,75,46,37,,5,,1,,,"0,61",14
File,"ExceptionHandle.java",13,0,13,0,2,"0,00","0,00",0,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,34,4,25,16,8,5,,14,17,12,6,,2,,1,,,"0,20",2
File,"ExceptionHandle.java",13,0,13,0,2,"0,00","0,00",0,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,34,4,25,16,8,5,,14,17,12,6,,2,,1,,,"0,20",2
File,"ExceptionHandle.java",13,0,13,0,2,"0,00","0,00",0,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,34,4,25,16,8,5,,14,17,12,6,,2,,1,,,"0,20",2
File,"ExceptionHandle.java",13,0,13,0,2,"0,00","0,00",0,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,34,4,25,16,8,5,,14,17,12,6,,2,,1,,,"0,20",2
File,"ExceptionHandle.java",13,0,13,0,2,"0,00","0,00",0,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,34,4,25,16,8,5,,14,17,12,6,,2,,1,,,"0,20",2
File,"ExceptionThreadFactory.java",6,0,6,1,1,"0,00","0,00",0,0,,,,,1,0,0,2,,2,2,3,2,,0,0,0,2,,36,8,21,13,7,7,,13,16,11,7,,1,,0,,,"0,33",2
File,"ExecutorExceptionHandler.java",4,0,4,0,1,"0,00","0,00",0,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,18,3,9,6,1,6,,3,5,4,1,,1,,0,,,"0,67",1
File,"FacadeController.java",6,0,6,0,1,"0,00","0,00",0,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,35,5,19,16,1,11,,9,11,10,1,,1,,0,,,"0,58",1
File,"FeignConfig.java",5,0,4,1,1,"0,00","0,00",0,0,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,34,5,21,14,3,8,,9,13,10,3,,1,,0,,,"0,38",3
File,"FeignConfig.java",5,0,4,1,1,"0,00","0,00",0,0,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,34,5,21,14,3,8,,9,13,10,3,,1,,0,,,"0,38",3
File,"FeignConfig.java",5,0,4,1,1,"0,00","0,00",0,0,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,34,5,21,14,3,8,,9,13,10,3,,1,,0,,,"0,38",3
File,"FeignConfig.java",5,0,4,1,1,"0,00","0,00",0,0,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,34,5,21,14,3,8,,9,13,10,3,,1,,0,,,"0,38",3
File,"FeignConfig.java",5,0,4,1,1,"0,00","0,00",0,0,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,34,5,21,14,3,8,,9,13,10,3,,1,,0,,,"0,38",3
File,"FeignConfig.java",10,0,9,1,2,"0,00","0,00",0,0,,,,,1,0,0,5,,5,4,0,4,,0,0,0,4,,62,8,44,27,15,10,,21,29,21,13,,4,,3,,,"0,23",8
File,"GatewayApplication.java",7,0,7,0,1,"0,00","0,00",0,0,,,,,1,1,0,2,,2,1,0,2,,0,0,0,2,,42,7,35,27,6,0,,22,25,20,6,,1,,0,,,"0,00",2
